Year,Indicator Name,Indicator Code,Value
2022,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,238820000.0
2021,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,242270000.0
2020,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,185790000.0
2019,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,163360000.0
2018,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,193260000.0
2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,187570000.0
2016,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,161160000.0
2015,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,199590000.0
2014,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,215290000.0
2013,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,246070000.0
2012,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,241620000.0
2011,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,301430000.0
2010,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,328090000.0
2009,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,411710000.0
2008,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,458310000.0
2007,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,381490000.0
2006,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,374410000.0
2005,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,635100000.0
2004,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,193310000.0
2003,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,138100000.0
2002,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,119160000.0
2001,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,102970000.0
2000,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,111750000.0
1999,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,113620000.0
1998,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,117680000.0
1997,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,114840000.0
1996,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,142870000.0
1995,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,171700000.0
1994,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,156680000.0
1993,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,196670000.0
1992,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,138980000.0
1991,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,167910000.0
1990,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,215950000.0
1989,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,192000000.0
1988,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,193530000.0
1987,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,191050000.0
1986,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,173200000.0
1985,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,150160000.0
1984,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,179690000.0
1983,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,183510000.0
1982,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,170590000.0
1981,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,177710000.0
1980,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,160360000.0
1979,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,116040000.0
1978,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,83050000.0
1977,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,70630000.0
1976,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,58560000.0
1975,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,55790000.0
1974,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,23810000.0
1973,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,18390000.0
1972,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8640000.0
1971,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,16210000.0
1970,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,15400000.0
1969,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8070000.0
1968,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,7390000.0
1967,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8530000.0
1966,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,10430000.0
1965,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,8890000.0
1964,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,6020000.0
1963,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,6270000.0
1962,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,10780000.0
1961,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,11990000.0
1960,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,10530000.0
2022,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,52320000.0
2021,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,59050000.0
2020,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,49540000.0
